model,repeat_index,fold_index,seed,train_frame_count,test_frame_count,successful_test_frames,failed_test_frames,fold_status,test_rms,test_p95,test_edge_rms,test_straightness,straightness_source
fisheye,1,0,43,44,11,11,0,fully_successful,3.239946303842689,3.326952130991851,2.189064550696636,0.41142645459098454,test
fisheye,1,1,43,44,11,11,0,fully_successful,1.3443332369584977,2.8696318838867576,1.260252566746168,0.5123588170444227,test
fisheye,1,2,43,44,11,11,0,fully_successful,1.7009621975011926,3.5330573229712505,1.8309314144060593,0.6242693634220277,test
fisheye,1,3,43,44,11,11,0,fully_successful,1.1054211194121115,2.1649649783573897,1.0901968044757182,0.335899207537623,test
fisheye,1,4,43,44,11,11,0,fully_successful,1.4221413130151837,3.0631947552322996,1.3641970194857413,0.3597285985042856,test
fisheye,2,0,44,44,11,11,0,fully_successful,1.4256684080098787,3.099935668043779,1.4292463105287845,0.4463267401062784,test
fisheye,2,1,44,44,11,11,0,fully_successful,1.445510275627536,2.8656882429302413,1.5274800961047474,0.5250086380675715,test
fisheye,2,2,44,44,11,11,0,fully_successful,1.1719092128525208,2.4707660766615187,1.1991381717457477,0.4994353794091235,test
fisheye,2,3,44,44,11,11,0,fully_successful,3.185941133285341,3.303891688768788,2.147771246343579,0.38526071088451114,test
fisheye,2,4,44,44,11,11,0,fully_successful,1.620859645669605,3.1391709440024895,1.3977073699575127,0.3879186671712399,test
fisheye,3,0,45,44,11,11,0,fully_successful,1.3417071263982625,2.8462081992022172,1.405467559773904,0.361662052685908,test
fisheye,3,1,45,44,11,11,0,fully_successful,1.3094634788295783,2.864611358936136,1.2516412891556654,0.39125022147409855,test
fisheye,3,2,45,44,11,11,0,fully_successful,3.2251427418505814,3.6304573699311575,2.3906195400979837,0.4860082137519845,test
fisheye,3,3,45,44,11,11,0,fully_successful,1.654346386271784,3.098193338979113,1.6366618162046573,0.537849770024905,test
fisheye,3,4,45,44,11,11,0,fully_successful,1.4285158465979648,3.0915357280526616,1.3651679619252333,0.48333311666877177,test
fisheye,4,0,46,44,11,11,0,fully_successful,1.4101957654865616,2.499555331793369,1.3118497592340792,0.35609230535743025,test
fisheye,4,1,46,44,11,11,0,fully_successful,1.2731455329337484,2.703155022598214,1.2156107338030013,0.499869285897875,test
fisheye,4,2,46,44,11,11,0,fully_successful,3.277949781556086,3.825998590856931,2.4816336760618687,0.5428867020070761,test
fisheye,4,3,46,44,11,11,0,fully_successful,1.2303013233458293,2.6335488657155883,1.268665454270682,0.457284917323288,test
fisheye,4,4,46,44,11,11,0,fully_successful,1.4963461956509907,3.19692587863636,1.4394183026459084,0.40930151640400764,test
